,type,id,geometry,properties,centroid,pixel_coord
53,Feature,8866e428c1fffff,"{'type': 'Polygon', 'coordinates': [[[-74.07358020131528, 4.734481451949198], [-74.07759618274304, 4.731804113186372], [-74.07707856845519, 4.726957022547516], [-74.07254486972448, 4.724787412639008], [-74.06852896584712, 4.72746493992772], [-74.06904668314104, 4.732311888589902]]]}",{'value': 0},"[4.729634532937125, -74.07306254262494]","[54, 64]"
54,Feature,8866e090c5fffff,"{'type': 'Polygon', 'coordinates': [[[-74.09575904457938, 4.579400929885797], [-74.09977772292893, 4.576717580463008], [-74.09926012490382, 4.571863537782432], [-74.09472374532265, 4.569692986601517], [-74.09070514432926, 4.5723765240483685], [-74.09122284555195, 4.577230424642939]]]}",{'value': 0},"[4.57454705800688, -74.09524140206162]","[71, 62]"
55,Feature,8866e42111fffff,"{'type': 'Polygon', 'coordinates': [[[-74.00792583777087, 4.804189458335594], [-74.01193876628804, 4.801515616710906], [-74.01142046947467, 4.7966724566752585], [-74.00688914144285, 4.794503280802816], [-74.00287629123949, 4.797177311368289], [-74.00339469074515, 4.80202032885629]]]}",{'value': 0},"[4.7993464705299855, -74.00740749671286]","[46, 72]"
56,Feature,8866e42d37fffff,"{'type': 'Polygon', 'coordinates': [[[-74.04560411018275, 4.633675074946258], [-74.04962044656435, 4.630994410524104], [-74.0491023277458, 4.626143390284102], [-74.04456776957966, 4.62397317698207], [-74.04055151113829, 4.6266540297525625], [-74.04106973291397, 4.6315049074676224]]]}",{'value': 0},"[4.628824225979071, -74.04508594699257]","[65, 67]"
57,Feature,8866e0926dfffff,"{'type': 'Polygon', 'coordinates': [[[-74.12373251535763, 4.6802661928392055], [-74.12775083460417, 4.677586160739298], [-74.12723374155814, 4.6727360380056675], [-74.12269822601064, 4.670566088902309], [-74.11867998373032, 4.673246309206402], [-74.1191971800223, 4.678096290400489]]]}",{'value': 0},"[4.675416241264067, -74.12321537778837]","[60, 59]"
58,Feature,8866e42f33fffff,"{'type': 'Polygon', 'coordinates': [[[-74.01257566021383, 4.686885738791356], [-74.01659022983262, 4.684207493543186], [-74.0160717973381, 4.679359218221069], [-74.01153869242853, 4.67718933090967], [-74.00752420112525, 4.6798677647663185], [-74.0080427364071, 4.684715897316785]]]}",{'value': 0},"[4.6820376351328425, -74.0120571834322]","[59, 71]"
59,Feature,8866e09313fffff,"{'type': 'Polygon', 'coordinates': [[[-74.13618777369885, 4.635586474953862], [-74.14020706855752, 4.632904629789212], [-74.13969005423615, 4.628052419160051], [-74.13515364172127, 4.625882195188599], [-74.13113442369871, 4.628564228391655], [-74.13165154134606, 4.633416297518582]]]}",{'value': 0},"[4.630734435219158, -74.13567071481549]","[65, 57]"
60,Feature,8866e4299dfffff,"{'type': 'Polygon', 'coordinates': [[[-74.12178294836087, 4.702343183098653], [-74.1258009235595, 4.699663990109489], [-74.12528384281927, 4.694814842262819], [-74.12074868364778, 4.692645028906576], [-74.11673078542844, 4.695324410166836], [-74.1172479693924, 4.700173416503058]]]}",{'value': 0},"[4.6974942065225855, -74.12126582310776]","[58, 59]"
61,Feature,8866e429bdfffff,"{'type': 'Polygon', 'coordinates': [[[-74.14239137203043, 4.6937953074631], [-74.14641013216658, 4.691115514644527], [-74.1458932883337, 4.686265711865982], [-74.14135758104248, 4.6840958431954345], [-74.13733889763859, 4.686775824190023], [-74.13785584478478, 4.691625485669946]]]}",{'value': 0},"[4.688945675826882, -74.1418744836389]","[59, 57]"
62,Feature,8866e42d2dfffff,"{'type': 'Polygon', 'coordinates': [[[-74.06581382867802, 4.661756558160249], [-74.06983047617092, 4.659076647148593], [-74.06931264868393, 4.65422654362789], [-74.06477807067347, 4.652056493342655], [-74.06076150086108, 4.654736592709458], [-74.06127943136966, 4.6595865539972126]]]}",{'value': 0},"[4.656906625958365, -74.06529595678455]","[62, 65]"
