localidad,latitud,longitud
usaquen,4.7977279,-74.0116296
usaquen,4.7974501,-74.0107919
usaquen,4.7970973,-74.0085929
usaquen,4.7976052,-74.0077827
usaquen,4.7982147,-74.0069724
usaquen,4.7985194,-74.0060609
usaquen,4.7985193,-74.0054533
usaquen,4.7998931,-74.00458
usaquen,4.8002993,-74.003883
usaquen,4.8008071,-74.0033854
usaquen,4.8008095,-74.0033715
usaquen,4.8030291,-74.0012562
usaquen,4.8030718,-74.0009558
usaquen,4.8043334,-74.0007627
usaquen,4.8046402,-73.9993876
usaquen,4.8047526,-73.9988536
usaquen,4.805667,-73.9988535
usaquen,4.8065813,-73.9989547
usaquen,4.8073941,-73.9992584
usaquen,4.8081054,-73.999866
usaquen,4.8090199,-74.0013851
usaquen,4.8094263,-74.0022965
usaquen,4.8099344,-74.0030054
usaquen,4.8106727,-74.0051956
usaquen,4.8116405,-74.004647
usaquen,4.8122501,-74.0046469
usaquen,4.8129774,-74.0043525
usaquen,4.8145174,-74.0036407
usaquen,4.8164573,-74.0043301
usaquen,4.823359,-74.006739
usaquen,4.8232416,-74.0067547
usaquen,4.8230001,-74.0074529
usaquen,4.8227509,-74.0080762
usaquen,4.8226876,-74.0085528
usaquen,4.8223825,-74.0092065
usaquen,4.8216058,-74.0096496
usaquen,4.8215221,-74.0099687
usaquen,4.8212559,-74.0102841
usaquen,4.8210178,-74.0104515
usaquen,4.8210626,-74.0105537
usaquen,4.8211428,-74.0107365
usaquen,4.8212491,-74.0110714
usaquen,4.8213313,-74.0114446
usaquen,4.8213957,-74.0119048
usaquen,4.8214376,-74.0124501
usaquen,4.8214516,-74.0129006
usaquen,4.8214471,-74.013118
usaquen,4.8214397,-74.0134717
usaquen,4.8214186,-74.0137801
usaquen,4.8213827,-74.0141279
usaquen,4.821253,-74.0151212
usaquen,4.8211789,-74.0158051
usaquen,4.8210472,-74.0168246
usaquen,4.8210213,-74.0172477
usaquen,4.8210229,-74.0174363
usaquen,4.821034,-74.0176142
usaquen,4.8210791,-74.0179264
usaquen,4.8211572,-74.0182593
usaquen,4.8212685,-74.0186138
